"Degrees","Accessibility","node_ID","angle","coordinate_x","coordinate_y"
1,77.4136951845139,1,NA,-1,-0.0925324675324676
1,77.1577313821763,2,NA,-0.9689537410742,-0.136688311688312
1,77.9678372722119,3,NA,-0.959950325985719,-0.0727272727272728
1,78.8174674045295,4,NA,-0.955914312325365,-0.0461038961038961
3,76.9182348828763,5,84.0938568115234,-0.951257373486495,-0.0753246753246753
1,76.6883634012192,6,NA,-0.948152747593915,-0.14025974025974
3,75.5156275909394,7,81.6341094970703,-0.947842285004657,-0.131493506493506
3,76.3371608834714,8,59.7827301025391,-0.947221359826141,-0.0788961038961039
1,77.7022990714759,9,NA,-0.947221359826141,-0.062012987012987
1,77.2497256938368,10,NA,-0.946600434647625,-0.0373376623376623
1,77.3507270757109,11,NA,-0.946289972058367,-0.0227272727272727
3,76.955833254382,12,102.52880859375,-0.944116733933561,-0.0766233766233766
3,76.3211788665503,13,69.1387023925781,-0.940080720273207,-0.0561688311688312
3,74.0319130104035,14,65.3128204345703,-0.932940080720273,-0.125324675324675
1,76.0661503951997,15,NA,-0.932629618131015,-0.144480519480519
3,75.8306386414915,16,58.9729309082031,-0.932008692952499,-0.0337662337662338
3,72.6491297166795,17,91.0230102539062,-0.930456380006209,-0.0954545454545455
3,72.9122629743069,18,83.2945556640625,-0.930456380006209,-0.0938311688311688
3,75.8903557639569,19,99.3349990844727,-0.926109903756597,-0.0798701298701299
1,77.8815791588277,20,NA,-0.924557590810307,-0.0918831168831169
3,75.5860087852925,21,87.273681640625,-0.923315740453275,-0.0814935064935065
3,76.3369824420661,22,90.5469589233398,-0.921452964917727,-0.0678571428571428
3,74.678932858631,23,88.6980590820312,-0.918969264203663,-0.0581168831168831
1,77.5082621518523,24,NA,-0.9164855634896,-0.0198051948051948
1,73.0743684433401,25,NA,-0.915243713132567,0.35974025974026
3,72.2073459308594,26,45,-0.914622787954051,-0.112662337662338
1,77.6244230214506,27,NA,-0.911207699472214,-0.0525974025974026
3,74.2431573849171,28,64.7594604492188,-0.91027631170444,-0.077922077922078
3,74.1839780751616,29,53.4383773803711,-0.909965849115182,-0.0399350649350649
3,73.7408945541829,30,71.8383178710938,-0.90717168581186,-0.0801948051948052
1,75.4999072812498,31,NA,-0.906550760633344,0.317857142857143
1,74.3721228595823,32,NA,-0.905308910276312,-0.139935064935065
3,73.5179106723517,33,46.2188720703125,-0.905308910276312,-0.0801948051948052
1,75.5834441445768,34,NA,-0.904998447687054,0.292532467532467
1,73.5402004383504,35,NA,-0.902825209562248,0.377597402597402
3,70.6282945554703,36,48.1288146972656,-0.901583359205216,-0.0983766233766233
3,70.5076696034521,37,57.52880859375,-0.899720583669668,-0.0977272727272728
